Administration,Publication,Date of Event,Source,Link,Movement,Actor,Type of Action,Target of action,Admin Response,Position,Size,Investment size,Notes,Include
Alivisatos,Maroon,12/5/2024,"Pro-Palestine Faculty and Staff Accuse University of Breaking Gazan Scholars Promise, University Disputes Claim",https://chicagomaroon.com/44764/news/pro-palestine-faculty-and-staff-accuse-university-of-breaking-gazan-scholars-promise-university-disputes-claim/,Palestine,,Protest,,Non-divestment support,For,,,,1
Alivisatos,Maroon,10/30/2024,UChicago Launches Institute for Climate and Sustainable Growth,https://chicagomaroon.com/44590/news/uchicago-launches-institute-for-climate-and-sustainable-growth/,Fossil fuels,EJTF,Protest,General,Police dispersal,For,,,,1
Alivisatos,Maroon,10/27/2024,We’re Turning Our Backs to You! – Chicago Maroon,https://chicagomaroon.com/44383/viewpoints/letter/were-turning-our-backs-to-you/,Palestine,SJP,Letter Writing,General,Disciplinary action,For,,,Suspended / mandatory leave of absense,1
Alivisatos,Maroon,10/11/2024,UChicago Undergrad Charged for Battery of CPD Officer at pro-Palestine Protest – Chicago Maroon,https://chicagomaroon.com/44364/news/uchicago-undergrad-charged-for-battery-of-cpd-officer-at-pro-palestine-protest/,Palestine,SJP,Protest,General,Arrest,For,,,,1
Alivisatos,Maroon,10/11/2024,"Protesters and Police Clash as Protesters Lock Cobb Gate, Police Arrest Three – Chicago Maroon",https://chicagomaroon.com/44211/news/protesters-and-police-clash-as-protesters-lock-cobb-gate-police-arrest-three/,Palestine,UCUP,Protest,General,Arrest,For,,,,1
Alivisatos,Maroon,6/15/2024,A Deficit Without Communication ,https://chicagomaroon.com/43767/viewpoints/column/a-deficit-without-communication/,Palestine,,Letter Writing,,,For,,,,1
Alivisatos,Maroon,6/1/2024,"Pro-Palestine Protesters Disrupt Convocation Ceremonies, One Arrested in Confrontation with Police ",https://chicagomaroon.com/43756/news/pro-palestine-protesters-disrupt-convocation-ceremonies-one-arrested-in-confrontation-with-police/,Palestine,,Protest,,Arrest,For,,,,1
Alivisatos,Maroon,5/17/2024,LIVE UPDATES: Pro-Palestine Protesters Occupy Institute of Politics ,https://chicagomaroon.com/43560/news/live-updates-pro-palestine-protesters-occupy-institute-of-politics/,Palestine,,Protest,,Police dispersal,For,,,,1
Alivisatos,Maroon,5/7/2024,LIVE UPDATES: Police Raid Quad Encampment on Ninth Day – Chicago Maroon,https://chicagomaroon.com/43133/news/live-updates-pro-palestine-encampment-enters-ninth-day-on-quad/,Palestine,,Protest,,Police dispersal,For,,,,1
Alivisatos,Maroon,5/6/2024,"In Times of Crisis, It Is Our Obligation as Members of a Scholarly Community to Practice “Deep Looking” – Chicago Maroon",https://chicagomaroon.com/43118/viewpoints/op-ed/in-times-of-crisis-it-is-our-obligation-as-members-of-a-scholarly-community-to-practice-deep-looking/,Palestine,,Letter Writing,,,Against,,,,0
Alivisatos,Maroon,5/6/2024,LIVE UPDATES: Pro-Palestine Encampment Enters Eighth Day on Quad – Chicago Maroon,https://chicagomaroon.com/43083/news/live-updates-pro-palestine-encampment-enters-eighth-day-on-quad/,Palestine,,Protest,,,For,,,,1
Alivisatos,Maroon,5/5/2024,LIVE UPDATES: Pro-Palestine Encampment Enters Seventh Day on Quad – Chicago Maroon,https://chicagomaroon.com/42984/news/live-updates-pro-palestine-encampment-enters-sixth-day-on-quad-2/,Palestine,,Protest,,,For,,,,1
Alivisatos,Maroon,5/4/2024,LIVE UPDATES: Pro-Palestine Encampment Enters Sixth Day on Quad – Chicago Maroon,https://chicagomaroon.com/42905/news/live-updates-pro-palestine-encampment-enters-sixth-day-on-quad/,Palestine,,Protest,,,For,,,,1
Alivisatos,Maroon,5/3/2024,LIVE UPDATES: Pro-Palestine Encampment Enters Fifth Day on Quad – Chicago Maroon,https://chicagomaroon.com/42726/news/live-updates-pro-palestine-encampment-enters-fifth-day-on-quad/,Palestine,,Protest,,,Against,,,,0
Alivisatos,Maroon,5/3/2024,LIVE UPDATES: Pro-Palestine Encampment Enters Fifth Day on Quad – Chicago Maroon,https://chicagomaroon.com/42726/news/live-updates-pro-palestine-encampment-enters-fifth-day-on-quad/,Palestine,,Protest,,,For,,,,1
Alivisatos,Maroon,5/2/2024,LIVE UPDATES: Pro-Palestine Encampment Enters Fourth Day on Quad – Chicago Maroon,https://chicagomaroon.com/42552/news/live-updates-pro-palestine-encampment-enters-fourth-day-on-quad/,Palestine,,Protest,,,For,,,,1
Alivisatos,Maroon,5/1/2024,"University Meets with Encampment Leaders, Organizers Say – Chicago Maroon",https://chicagomaroon.com/42569/news/university-meets-with-encampment-leaders-organizers-say/,Palestine,UCUP,Protest,General,Meeting/negotiation,For,,,,1
Alivisatos,Maroon,5/1/2024,LIVE UPDATES: Pro-Palestine Encampment Enters Its Third Day on Quad – Chicago Maroon,https://chicagomaroon.com/42443/news/live-updates-pro-palestine-encampment-enters-third-day-on-quad/,Palestine,,Protest,,,For,,,,1
Alivisatos,Maroon,4/30/2024,On Expression and Disruption – Chicago Maroon,https://chicagomaroon.com/42441/viewpoints/op-ed/on-expression-and-disruption/,Palestine,,Letter Writing,General,,For,,,,1
Alivisatos,Maroon,4/30/2024,LIVE UPDATES: Pro-Palestine Encampment Enters Its Second Day on Quad – Chicago Maroon,https://chicagomaroon.com/42314/uncategorized/live-updates-pro-palestine-encampment-enters-its-second-day-on-quad/,Palestine,,Protest,,,For,,,,1
Alivisatos,Maroon,4/29/2024,BREAKING: Pro-Palestine Protestors Launch Encampment on Quad – Chicago Maroon,https://chicagomaroon.com/42194/news/breaking-pro-palestine-protestors-launch-encampment-on-quad/,Palestine,,Protest,,,For,100,,,1
Alivisatos,Maroon,4/26/2024,Pro-Palestine Protesters Hold Quad Rally and March Through Campus – Chicago Maroon,https://chicagomaroon.com/42179/news/pro-palestine-protesters-hold-quad-rally-and-march-through-campus/,Palestine,UCUP,Protest,General,,For,,,,1
Alivisatos,Maroon,4/22/2024,UChicago Alumni Pledge to Withhold Donations Unless Endowment Eliminates Fossil Fuel Investments – Chicago Maroon,https://chicagomaroon.com/42142/news/uchicago-alumni-pledge-to-withhold-donations-unless-endowment-eliminates-fossil-fuel-investments/,Fossil fuels,"Alumni, UChicago for Climate Action",Pledge/Resolution,General,,For,,,,1
Alivisatos,Maroon,4/19/2024,How Little Does Palestinian Life Matter to the University of Chicago?,https://chicagomaroon.com/42119/viewpoints/op-ed/how-little-does-palestinian-life-matter-to-the-university-of-chicago/,Palestine,,Letter Writing,General,,For,,,,1
Alivisatos,Maroon,2/9/2024,Admin Is Trying to Silence Us for Speaking Up About Palestine. We Won’t Let That Happen. – Chicago Maroon,https://chicagomaroon.com/41424/viewpoints/letter/admin-is-trying-to-silence-us-for-speaking-up-about-palestine-we-wont-let-that-happen/,Palestine,,"Letter Writing, Protest",General,,For,,,,1
Alivisatos,Maroon,1/28/2024,"UCUP Stages Die-In at Pret a Manger, Protests Israel Consul General’s Meeting With Alivisatos – Chicago Maroon",https://chicagomaroon.com/41142/news/ucup-stages-die-in-at-pret-a-manger-protests-israel-consul-generals-meeting-with-alivisatos/,Palestine,UCUP,Protest,General,Police dispersal,For,,,,1
Alivisatos,Maroon,11/9/2023,UCPD Arrests Protesters Engaged in Admissions Office Sit-In and Faculty Members – Chicago Maroon,https://chicagomaroon.com/40547/news/ucpd-arrests-protesters-engaged-in-admissions-office-sit-in/,Palestine,,Protest,President/Administration,Arrest,For,,,,1
Alivisatos,Maroon,10/30/2023,UChicago Board of Trustees Accused of Violating Illinois Law With Fossil Fuel Investments – Chicago Maroon,https://chicagomaroon.com/40389/news/uchicago-board-of-trustees-accused-of-violating-illinois-law-with-fossil-fuel-investments/,Fossil fuels,EJTF,Legal Action,President/Administration,,For,,,,1
Alivisatos,Maroon,10/20/2023,A Cry for Divestment: SJP Rally Draws Hundreds of Attendees – Chicago Maroon,https://chicagomaroon.com/40207/news/a-cry-for-divestment-sjp-rally-draws-hundreds-of-attendees/,Palestine,UCUP,Protest,General,,For,,,,1
Alivisatos,Maroon,10/16/2023,SJP Begins Daily Quad Protest Advocating Palestinian Liberation – Chicago Maroon,https://chicagomaroon.com/40110/news/sjp-begins-daily-quad-protest-advocating-palestinian-liberation/,Palestine,SJP,Protest,General,,For,,,,1
Alivisatos,Maroon,4/21/2023,Students Hold “Divestival” Rally to Urge University Divestment – Chicago Maroon,https://chicagomaroon.com/39063/news/students-hold-divestival-rally-to-urge-university-divestment/,Fossil fuels,EJTF,Protest,,Non-divestment support,For,,,,1
Alivisatos,Maroon,5/30/2022,The Maroon Editorial Board Should Endorse BDS,https://chicagomaroon.com/32717/viewpoints/column/maroon-editorial-board-endorse-bds/,Palestine,,Letter Writing,General,,For,,,,1
Alivisatos,Maroon,5/29/2022,"At Rally, Environmental Justice Task Force Demands University Divestment From Fossil Fuels – Chicago Maroon",https://chicagomaroon.com/32722/news/rally-environmental-justice-task-force-demands-university/,Fossil fuels,,Protest,,,For,,,,1
Alivisatos,Maroon,1/26/2022,U of C Students Relaunch Fossil Fuel Divestment Campaign – Chicago Maroon,,Fossil fuels,EJTF,Letter Writing,General,Meeting/negotiation,For,,,Chief Investment Officer Mark Schmid retirement; equivalent GDP of US and China divested globally https://divestmentdatabase.org/ ,1
Alivisatos,Maroon,12/6/2021,The End of the Pipeline: Divest from Fossil Fuels – Chicago Maroon,https://chicagomaroon.com/28763/viewpoints/column/end-pipeline-divest-fossil-fuels/,Fossil fuels,,Letter Writing,,,For,,,,1
Alivisatos,Maroon,12/1/2021,"University Has No Plans to Divest, Set Carbon Neutrality Goal, Alivisatos Says – Chicago Maroon",https://chicagomaroon.com/28767/news/university-plans-divest-set-carbon-neutrality-goal/,Fossil fuels,USAN,Lecture/Debate,President/Administration,Non-divestment support,For,,,"First public acknowledgment; ""small fraction of endowment currently invested in fossil fuels and it continues to decline""; Adam D'Ambrosio said 1% reduction in greenhouse gas emissions from 2012-202; first public town hall in 5 years with president",1
Alivisatos,Maroon,5/29/2021,The Incoming USG’s Recent Statement in Support of BDS Is Tone-Deaf—Listen to Your Constituents – Chicago Maroon,https://chicagomaroon.com/28549/viewpoints/op-ed/sgs-recent-statement-support-bds-tone-deaf-listen/,Palestine,,Letter Writing,,,Against,,,,0
Zimmer,Maroon,5/22/2021,Gathering in Hyde Park Held to Honor Palestinians Killed by Israeli Armed Forces – Chicago Maroon,https://chicagomaroon.com/28556/news/gathering-hyde-park-held-honor-palestinians-killed-israeli/,Palestine,,Protest,General,,For,,,,1
Zimmer,Maroon,5/14/2021,"New Student Activism Coalition Demands Justice for Students, South Side, and University’s International Impact at Rally – Chicago Maroon",https://chicagomaroon.com/28512/news/new-student-activism-coalition-demands-justice-students/,Palestine,USAN,Protest,General,,For,,,,1
Zimmer,Maroon,10/17/2020,"To Achieve Genuine Sustainability, Let’s Get Strategic – Chicago Maroon",https://chicagomaroon.com/28049/viewpoints/column/achieve-genuine-sustainability-lets-get-strategic/,Fossil fuels,,Letter Writing,General,,For,,,,1
Zimmer,Maroon,10/13/2019,The Fiction of Neutrality – Chicago Maroon,https://chicagomaroon.com/27183/viewpoints/op-ed/fiction-neutrality/,Fossil fuels,,Letter Writing,,,For,,,,1
Zimmer,Maroon,3/2/2018,Students Lead NoDAPL Protest and Divestment Rally before Gubernatorial Debate – Chicago Maroon,,Fossil fuels,,Protest,General,,For,,,,1
Zimmer,Maroon,4/13/2017,,,Palestine,UChicago Divest,Letter Writing,"Maroon, Board of Trustees",,,,,,0
Zimmer,Maroon,4/13/2017,Administration Needs to Divest from Companies Supporting Israeli Occupation of Palestine – Chicago Maroon,https://chicagomaroon.com/24291/viewpoints/letter/administration-needs-divest-companies-supporting-i/,Palestine,,Letter Writing,,,For,,,,1
Zimmer,Maroon,3/6/2017,A Retort to the Kalven Report – Chicago Maroon,https://chicagomaroon.com/24077/viewpoints/column/retort-kalven-report/,Fossil fuels,,Letter Writing,General,,For,,,,1
Zimmer,Maroon,11/22/2016,"Zimmer Talks University Finances, Divestment, and Trigger Warnings – Chicago Maroon",https://chicagomaroon.com/23311/news/zimmer-zigs-zags-around-campus-issues-maroon/,Fossil fuels,,,,Interview/forum,For,,,,1
Zimmer,Maroon,5/19/2016,[Update: Sanders Tweets Support] SG President Faces Disciplinary Charges for Facilitating Sit-In – Chicago Maroon,https://chicagomaroon.com/22395/news/sg-president-faces-disciplinary-charges-for-facilitating-sit-in/,Labor Rights,IIRON,Protest,General,Disciplinary action,For,,,,1
Zimmer,Maroon,4/30/2016,Letter: College Council Representative Xu Speaks Out Against China Divestment Proposal – Chicago Maroon,https://chicagomaroon.com/22136/viewpoints/letter/letter-to-the-editor-college-council-rep-xu-speaks-out-against-symbolic-china-divestment-proposal/,Uyghur Rights,,Letter Writing,,,Against,,,,0
Zimmer,Maroon,4/26/2016,"Divestment by Bluechips, Divestment From China on CC Agenda – Chicago Maroon",https://chicagomaroon.com/22121/news/divestment-by-bluechips-divestment-from-china-on-cc-agenda/,Uyghur Rights,,Pledge/Resolution,College Council,,For,,,,1
Zimmer,Maroon,4/14/2016,Pushed to Extremes,https://chicagomaroon.com/21947/viewpoints/op-ed/pushed-to-extremes/,Palestine,,Letter Writing,,,Neutral,,,,0
Zimmer,Maroon,4/12/2016,Both Sides in Divestment Fight Plan Next Steps – Chicago Maroon,https://chicagomaroon.com/21960/news/both-sides-in-divestment-fight-plan-next-steps/,Palestine,,Pledge/Resolution,,,For,,,,1
Zimmer,Maroon,4/8/2016,SG Should Stick to Campus Issues – Chicago Maroon,https://chicagomaroon.com/21899/viewpoints/editorial/sg-should-stick-to-campus-issues/,Palestine,,Letter Writing,,,Against,,,,0
Zimmer,Maroon,4/7/2016,Letter: J Street UChicago Comes Out Against Resolution – Chicago Maroon,https://chicagomaroon.com/21882/viewpoints/letter/letter-j-street-uchicago-comes-out-against-resolution/,Palestine,,Letter Writing,,,Against,,,,0
Zimmer,Maroon,4/7/2016,Letter: UofC Divest Calls for Divestment for Human Rights in Palestine – Chicago Maroon,https://chicagomaroon.com/21881/viewpoints/letter/letter-uofc-divest-calls-for-divestment-from-israel/,Palestine,,Letter Writing,,,For,,,,1
Zimmer,Maroon,3/28/2016,Push for Divestment From Ten Companies that Do Work With Israeli Defense Forces Looks for CC Resolution,https://chicagomaroon.com/21837/news/push-for-divestment-from-some-companies-active-in-israel-looks-for-cc-resolution/,Palestine,"SJP, UChicago Divest",Protest,General,Non-divestment support,For,,,,1
Zimmer,Maroon,2/23/2016,Police Intervene as I-House Event Turns Heated – Chicago Maroon,https://chicagomaroon.com/21644/news/police-intervene-as-i-house-event-turns-heated/,Palestine,,Protest,,Police dispersal,For,,,,1
Zimmer,Maroon,2/22/2016,Open Letter From Faculty Pushes Fossil Fuel Divestment – Chicago Maroon,https://chicagomaroon.com/21635/news/students-for-climate-change-releases-petition-to-divest-from-fossil-fuels/,Fossil fuels,UCAN,Letter Writing,General,Ignore/refuse,For,250,,,1
Zimmer,Gate,2/18/2016,A Political Case For The University's Fossil Fuel Divestment,http://uchicagogate.com/articles/2016/2/18/a-political-case-for-the-universitys-fossil-fuel-divestment/,Fossil fuels,,Letter Writing,,,,,,,1
Zimmer,Maroon,11/13/2015,Rahm Emmanuel speaks at new research center amidst student calls for divestment,https://chicagomaroon.com/21076/news/rahm-emmanuel-speaks-at-new-research-center-amidst-student-calls-for-divestment/,Fossil fuels,UCAN,Protest,General,Ignore/refuse,For,,,,1
Zimmer,Maroon,11/5/2015,Letter: Law School professor makes the case against divestment – Chicago Maroon,https://chicagomaroon.com/20964/viewpoints/letter/letter-law-school-professor-makes-the-case-against-divestment/,Fossil fuels,,Letter Writing,,,Against,,,,0
Zimmer,Maroon,10/15/2015,Letter: UCAN demands that Trustees consider divestment – Chicago Maroon,https://chicagomaroon.com/20804/viewpoints/letter/letter-ucan-demands-that-trustees-consider-divestment/,Fossil fuels,UCAN,Letter Writing,General,,For,,,,1
Zimmer,Maroon,6/1/2015,Zimmer says University unlikely to divest from fossil fuels – Chicago Maroon,https://chicagomaroon.com/20763/news/zimmer-says-university-unlikely-to-divest-from-fossil-fuels/,Fossil fuels,,,,Interview/forum,For,,,Unspecified date,1
Zimmer,Maroon,6/4/2013,BDS a hypocritical movement – Chicago Maroon,https://chicagomaroon.com/17491/viewpoints/op-ed/bds-a-hypocritical-movement/,Palestine,,Letter Writing,,,Against,,,,0
Zimmer,Gate,2/27/2014,A Political Case For The University's Fossil Fuel Divestment,http://uchicagogate.com/articles/2016/2/18/a-political-case-for-the-universitys-fossil-fuel-divestment/,Fossil fuels,,Research Report,,,,,,,1
Zimmer,Maroon,5/31/2013,“Ahistorical activism” flawed – Chicago Maroon,https://chicagomaroon.com/17451/viewpoints/op-ed/ahistorical-activism-flawed/,Palestine,,Letter Writing,General,,For,,,,1
Zimmer,Maroon,5/21/2013,The flaws of ahistorical activism – Chicago Maroon,https://chicagomaroon.com/17381/viewpoints/column/the-flaws-of-ahistorical-activism-2/,Palestine,,Letter Writing,,,Against,,,,0
Zimmer,Maroon,5/7/2013,Say yes to divest: Passage of divestment referendum shows student desire for University that values environment more than illusion of neutrality,https://chicagomaroon.com/17268/viewpoints/op-ed/say-yes-to-divest/,Fossil fuels,UCAN,"Pledge/Resolution, Letter Writing",President/Administration,,For,,,,1
Zimmer,Maroon,4/9/2013,Divest in the future – Chicago Maroon,https://chicagomaroon.com/16989/viewpoints/letter/divest-in-the-future/,Fossil fuels,,Letter Writing,General,,For,,,,1
Zimmer,Maroon,3/8/2013,"SFCC demands divestment, meeting with Zimmer – Chicago Maroon",https://chicagomaroon.com/16913/news/sfcc-demands-divestment-meeting-with-zimmer/,Fossil fuels,UCAN,Protest,,Ignore/refuse,For,,,,1
Zimmer,Maroon,1/17/2013,Students push for climate-concious divestment – Chicago Maroon,https://chicagomaroon.com/16484/news/students-push-for-climate-concious-divestment/,Fossil fuels,UCAN,Letter Writing,President/Administration,Ignore/refuse,For,,,,1
Zimmer,Maroon,5/3/2012,Upstanding committee – Chicago Maroon,https://chicagomaroon.com/15499/viewpoints/editorial/upstanding-committee/,General Transparency,,Letter Writing,,,For,,,,1
Zimmer,Maroon,3/1/2012,"As Harvard divests, U of C sticks with HEI – Chicago Maroon",https://chicagomaroon.com/15177/news/as-harvard-divests-u-of-c-sticks-with-hei/,Labor Rights,Southside Solidarity Network,Lecture/Debate,General,Ignore/refuse,For,,,Unspecified date,1
Zimmer,Maroon,11/16/2011,"Students grill Zimmer on Harper Court, Rice – Chicago Maroon",https://chicagomaroon.com/14433/news/students-grill-zimmer-on-harper-court-rice/,Labor Rights,,,,Interview/forum,For,,,,1
Zimmer,Maroon,5/27/2011,Investing in dialogue – Chicago Maroon,https://chicagomaroon.com/4158/viewpoints/editorial/investing-in-dialogue/,General Transparency,,Letter Writing,,,For,,,Maroon Editorial endorsement,1
Zimmer,Maroon,5/24/2011,Lobbying for consistency – Chicago Maroon,https://chicagomaroon.com/7109/viewpoints/op-ed/lobbying-for-consistency/,General Transparency,,Letter Writing,,,For,,,,1
Zimmer,Maroon,4/22/2011,SRIC delivery goes on without Zimmer’s audience,https://chicagomaroon.com/4624/news/sric-delivery-goes-on-without-zimmer-s-audience/,General Transparency,,Protest,President/Administration,Ignore/refuse,For,,,,1
Zimmer,Maroon,4/22/2011,Freedom to disagree – Chicago Maroon,https://chicagomaroon.com/7268/viewpoints/op-ed/freedom-to-disagree/,General Transparency,,Letter Writing,,,For,,,,1
Zimmer,Maroon,4/19/2011,Zimmer pushed for SRIC answers at forum – Chicago Maroon,https://chicagomaroon.com/13409/news/zimmer-pushed-for-sric-answers-at-forum/,General Transparency,,Pledge/Resolution,President/Administration,Interview/forum,For,,,SRIC,1
Zimmer,Maroon,2/17/2011,"Inspired by Brown, activists push for HEI non-investment – Chicago Maroon",https://chicagomaroon.com/5546/news/inspired-by-brown-activists-push-for-hei-non-investment/,Labor Rights,,,,Meeting/negotiation,For,,,,1
Zimmer,Maroon,10/15/2010,Investing in evil: The University shouldn’t invest in morally suspect enterprises,https://chicagomaroon.com/13207/viewpoints/op-ed/investing-in-evil/,General Transparency,,Letter Writing,,,For,,,,1
Zimmer,Maroon,12/2/2008,An imperfect union – Chicago Maroon,https://chicagomaroon.com/8905/viewpoints/editorial/an-imperfect-union/,Sudan,,Letter Writing,,,Against,,,,
Zimmer,Maroon,11/18/2008,Activists criticize University endowment investments – Chicago Maroon,https://chicagomaroon.com/2868/news/activists-criticize-university-endowment-investments/,Labor Rights,SOUL,Letter Writing,President/Administration,Ignore/refuse,For,,,,1
Zimmer,Maroon,4/23/2008,"Letter: On divestment, University not part of solution – Chicago Maroon",https://chicagomaroon.com/7709/viewpoints/letter/letter-on-divestment-university-not-part-of-solution/,Sudan,STAND,Letter Writing,,,For,,,"Harvard, Yale, 23 states, presidential candidates, federal government all divested",1
Zimmer,Maroon,11/27/2007,Trustee discusses community relations at forum,https://chicagomaroon.com/4395/news/trustee-discusses-community-relations-at-forum/,Sudan,,,,Interview/forum,Against,,,,
Zimmer,Maroon,11/6/2007,Activists submit new proposals to Admin,https://chicagomaroon.com/6173/news/activists-submit-new-proposals-to-admin/,Sudan,,,,Meeting/negotiation,For,,,,1
Zimmer,Maroon,10/2/2007,Activists must ask questions,https://chicagomaroon.com/10634/viewpoints/letter/activists-must-ask-questions/,Sudan,STAND,Letter Writing,General,,For,,,,1
Zimmer,Maroon,5/31/2007,"Congressman, student protesters demand action from Trustees – Chicago Maroon",https://chicagomaroon.com/8192/news/congressman-student-protesters-demand-action-from-trustees/,Sudan,,Protest,Board of Trustees,,For,,,Police stopped traffic so they could pass. They worked with police,1
Zimmer,Maroon,5/25/2007,Different ends need different means – Chicago Maroon,https://chicagomaroon.com/4039/viewpoints/op-ed/different-ends-need-different-means/,Sudan,,Letter Writing,General,,For,,,,1
Zimmer,Maroon,5/4/2007,The key to ending genocide in Darfur: China – Chicago Maroon,https://chicagomaroon.com/1443/viewpoints/op-ed/the-key-to-ending-genocide-in-darfur-china/,Sudan,,Letter Writing,,,Neutral,,,,
Zimmer,Maroon,5/4/2007,"Genocide, divestment too urgent to ignore – Chicago Maroon",https://chicagomaroon.com/1442/viewpoints/op-ed/genocide-divestment-too-urgent-to-ignore/,Sudan,"Coalition for Immediate Divestment, STAND",Letter Writing,General,,For,,,,1
Zimmer,Maroon,5/1/2007,,,Sudan,STAND,"Request to meet with Board of Trustees, letters to Board of Trustees, protest, petition",,Ignore/refuse,,,,,0
Zimmer,Maroon,4/25/2007,,,Sudan,Congressman Bobby Rush,Request University to explain divestment,,,,,,,0
Zimmer,Maroon,4/23/2007,STAND requests student funds for refugee protest – Chicago Maroon,https://chicagomaroon.com/4140/news/stand-requests-student-funds-for-refugee-protest/,Sudan,,Protest,,,For,,,"Probably did not actually occur, but was a precedent for the Palestine encampment",
Zimmer,Maroon,3/7/2007,STAND brings protest to Administration building – Chicago Maroon,https://chicagomaroon.com/3975/news/stand-brings-protest-to-administration-building/,Sudan,STAND,Protest,President/Administration,Police dispersal,For,,,,1
Zimmer,Maroon,3/1/2007,STAND confronts Trustees – Chicago Maroon,https://chicagomaroon.com/13057/news/stand-confronts-trustees/,Sudan,STAND,Protest,Board of Trustees,Meeting/negotiation,For,,,,1
Zimmer,Maroon,2/23/2007,University’s divestment decision has major holes – Chicago Maroon,https://chicagomaroon.com/3423/viewpoints/op-ed/universitys-divestment-decision-has-major-holes/,Sudan,,Letter Writing,,,For,,,,1
Zimmer,Maroon,2/20/2007,Divestment through history’s lens,https://chicagomaroon.com/3921/viewpoints/op-ed/divestment-through-historys-lens/,Sudan,STAND,Letter Writing,General,,For,,,Kalven report author supports Sudan divestment,1
Zimmer,Maroon,2/13/2007,Did the University make the right decision by not divesting from Sudan: University wrong on divestment – Chicago Maroon,https://chicagomaroon.com/10565/viewpoints/op-ed/did-the-university-make-the-right-decision-by-not-divesting-from-sudan-university-wrong-on-divestmen/,Sudan,,Letter Writing,,,For,,,,1
Zimmer,Maroon,2/13/2007,Zimmer pressed by campus input – Chicago Maroon,https://chicagomaroon.com/4130/news/zimmer-pressed-by-campus-input/,Sudan,,,,Interview/forum,For,,,,1
Zimmer,Tribune,2/8/2007,University stands pat; activists take aim – Chicago Tribune,https://www.chicagotribune.com/2007/02/08/university-stands-pat-activists-take-aim/,Sudan,,,,Ignore/refuse,,,,"UChi has about $1 million (0.02%) invested in Sudan. Established $200000 support fund. Fund only got less than 10 first round proposals, expired 2009, but created in response to divestment movement directly. https://chicagomaroon.com/3336/news/darfur-fund-evaluates-first-set-of-picks/ ",1
Zimmer,Maroon,2/8/2007,STAND protests Board’s decision against divestment – Chicago Maroon,https://chicagomaroon.com/3916/news/stand-protests-boards-decision-against-divestment/,Sudan,,Protest,,,For,,,,1
Zimmer,Maroon,2/6/2007,Open letter in response to the U of C’s rejection of divestment – Chicago Maroon,https://chicagomaroon.com/10535/viewpoints/op-ed/open-letter-in-response-to-the-u-of-cs-rejection-of-divestment/,Sudan,,Letter Writing,,,For,,,,1
