Year,Quarter,New Students,Total Enrollment,Source Link,Notes
2023,Autumn,519,1123,https://uchicago.app.box.com/s/trkqpw1ztu0lc4niahgz0y7g6eyqt6z6/file/1338912295068,
2022,Autumn,557,1200,https://uchicago.app.box.com/s/trkqpw1ztu0lc4niahgz0y7g6eyqt6z6/file/1045237976077,
2021,Autumn,536,1089,https://uchicago.app.box.com/s/trkqpw1ztu0lc4niahgz0y7g6eyqt6z6/file/875975880334,
2020,Autumn,421,1006,https://uchicago.app.box.com/s/trkqpw1ztu0lc4niahgz0y7g6eyqt6z6/file/732905223281,
2019,Autumn,410,915,https://uchicago.app.box.com/s/trkqpw1ztu0lc4niahgz0y7g6eyqt6z6/file/589522713417,
2018,Autumn,344,774,https://uchicago.app.box.com/s/trkqpw1ztu0lc4niahgz0y7g6eyqt6z6/file/337879473889,
2017,Autumn,309,502,https://uchicago.app.box.com/s/trkqpw1ztu0lc4niahgz0y7g6eyqt6z6/file/308878372113,
2016,Autumn,122,369,https://uchicago.app.box.com/s/trkqpw1ztu0lc4niahgz0y7g6eyqt6z6/file/308875886614,
2015,Autumn,109,354,https://uchicago.app.box.com/s/trkqpw1ztu0lc4niahgz0y7g6eyqt6z6/file/308875469280,
2014,Autumn,162,354,https://uchicago.app.box.com/s/trkqpw1ztu0lc4niahgz0y7g6eyqt6z6/file/308879196562,
2013,Autumn,178,336,https://uchicago.app.box.com/s/trkqpw1ztu0lc4niahgz0y7g6eyqt6z6/file/308879060283,
2012,Autumn,142,308,https://uchicago.app.box.com/s/trkqpw1ztu0lc4niahgz0y7g6eyqt6z6/file/308878428208,
2011,Autumn,155,303,https://uchicago.app.box.com/s/trkqpw1ztu0lc4niahgz0y7g6eyqt6z6/file/308875372377,
2010,Autumn,N/A,294,https://uchicago.app.box.com/s/trkqpw1ztu0lc4niahgz0y7g6eyqt6z6/file/308879071247,No documentation on the number of new students
2009,Autumn,N/A,307,https://uchicago.app.box.com/s/trkqpw1ztu0lc4niahgz0y7g6eyqt6z6/file/308875020904,No documentation on the number of new students
2008,Autumn,N/A,278,https://uchicago.app.box.com/s/trkqpw1ztu0lc4niahgz0y7g6eyqt6z6/file/308878975436,No documentation on the number of new students
2007,Autumn,N/A,257,https://uchicago.app.box.com/s/trkqpw1ztu0lc4niahgz0y7g6eyqt6z6/file/308874839790,No documentation on the number of new students
2006,Autumn,N/A,272,https://uchicago.app.box.com/s/trkqpw1ztu0lc4niahgz0y7g6eyqt6z6/file/308877834869,No documentation on the number of new students
2005,Autumn,N/A,248,https://uchicago.app.box.com/s/trkqpw1ztu0lc4niahgz0y7g6eyqt6z6/file/308879678195,No documentation on the number of new students
2004,Autumn,N/A,252,https://uchicago.app.box.com/s/trkqpw1ztu0lc4niahgz0y7g6eyqt6z6/file/308878594568,No documentation on the number of new students
2003,Autumn,N/A,265,https://uchicago.app.box.com/s/trkqpw1ztu0lc4niahgz0y7g6eyqt6z6/file/308875573912,No documentation on the number of new students