Course Code,Instructor,Enrolled,Responses,Avg Hours,Sentiment Score
ITAL 10100,(s) Leonardo Cabrini,6,5,N/A,0.193
EGPT 10101,(s),11,6,N/A,0.266
JAPN 20200,(s) Yoko Katagiri,9,5,N/A,0.169
GRMN 10200,(s) Nicole Burgoyne,9,7,N/A,0.212
KORE 20300,(s)  Jieun Kim,8,4,N/A,0.258
SPAN 10300,(s) Linxi Zhang,15,10,N/A,0.285
CHIN 10300,(s)  Jun Yang,15,9,N/A,0.218
LATN 10200,(s) Christopher Simon,18,10,N/A,0.256
SPAN 10100,(s) Alan Parma,15,9,N/A,0.208
FREN 10300,(s) Celine Bordeaux,14,5,N/A,0.209
ASLG 10300,(s)  David Reinhart,13,8,N/A,0.221
FREN 20200,(s) Georgy Khabarovskiy,9,8,N/A,0.243
ARAB 20102,(s) Hala Abdel Mobdy,13,6,N/A,0.209
RUSS 20203,(s) Erik Houle,9,4,N/A,0.278
TURK 10501,(s) Kagan Arik,6,4,N/A,0.215
ITAL 10200,(s) Sarah Jane Vincent,3,3,N/A,0.193
PERS 20101,(s) Pouneh ShabaniJadidi,11,7,N/A,0.215
SPAN 20300,(s) Veronica Moraga Guerra,6,3,5.83,0.11
SPAN 20100,(s) Juliano Saccomani,12,7,N/A,0.195
NORW 10300,(s)  Kimberly Kenny,20,12,N/A,0.243
YDDH 10200,(s) Jessica,6,3,N/A,0.195
SANS 10200,(s) Andrew Ollett,15,9,N/A,0.219
ARAB 10102,(s) Osama AbuEledam,11,4,N/A,0.154
PERS 10101,(s) Pouneh ShabaniJadidi,10,7,N/A,0.327
CHIN 11100,(s) Yujia Ye,12,9,N/A,0.164
FREN 20100,(s) Sylvie Goutas,7,4,N/A,0.109
ARAB 10101,(s) Osama AbuEledam,16,5,N/A,0.214
SPAN 10100,(s) Begona Arechabaleta Regulez,12,9,N/A,0.162
HIND 10200,(s) Jason Grunebaum,11,8,N/A,0.217
GRMN 10300,(s)  Matthew Stahlman,5,5,N/A,0.183
CHIN 20300,(s)  Meng Li,6,5,N/A,0.213
CHIN 10100,(s) Xiaorong Wang,7,4,N/A,0.162
RUSS 20203,(s) Mark Baugher,8,5,N/A,0.204
ITAL 20100,(s) Veronica Vegna,6,5,N/A,0.282
CHIN 20100,(s) Xiaorong Wang,10,6,N/A,0.19
PORT 10100,(s) Juliano Saccomani,5,5,N/A,0.299
URDU 10200,(s) Romeena Kureishy,12,5,N/A,0.212
SPAN 10200,(s) Andrés Rabinovich,14,13,N/A,0.265
SPAN 20200,(s) Ely Segura Gomez,14,8,N/A,0.246
KORE 20100,(s) Jieun Kim,8,5,N/A,0.203
JAPN 10100,(s) Takeaki Okamoto,12,8,N/A,0.11
ARAB 10102,(s) Zainab Hermes,16,6,N/A,0.378
ITAL 20200,(s) Veronica Vegna,8,7,N/A,0.304
HIND 10100,(s) Jason Grunebaum,14,11,N/A,0.221
SPAN 10300,(s) Ane MarkesLarruzea,8,4,N/A,0.098
SPAN 10300,(s)  Aitana Espinos,15,4,N/A,0.26
FREN 10402,(s) Isabelle Faton,7,7,N/A,0.258
LATN 10100,(s) Christopher Simon,15,9,N/A,0.218
KORE 10200,(s) Youjung Shin,10,6,N/A,0.207
SPAN 10300,(s)  Diego Barros,8,4,N/A,0.25
RUSS 10203,(s) Mark Baugher,6,4,N/A,0.254
RUSS 10203,(s) Maria Iakubovich,7,4,N/A,0.202
HIND 10300,(s)  Jason Grunebaum,11,4,N/A,0.221
KORE 20100,(s) Jieun Kim,4,3,N/A,0.22
JAPN 10100,(s) Miku Fukasaku,8,7,N/A,0.193
LATN 20300,(s)  Christopher Simon,9,4,N/A,0.211
JAPN 10100,(s) Tomoko Kern,11,5,N/A,0.246
GRMN 10100,(s) Maeve Hooper,8,5,N/A,0.2
JAPN 20300,(s)  Yoko Katagiri,9,4,N/A,0.18
JAPN 10100,(s) Takeaki Okamoto,7,5,N/A,0.146
EGPT 10103,(s)  Margaret Geoga,7,6,N/A,0.197
FREN 20100,(s) Georgy Khabarovskiy,10,5,N/A,0.187
TURK 10102,(s) Kagan Arik,9,3,N/A,0.226
FREN 10300,(s) Etienne Labbouz,8,6,N/A,0.251
FREN 10200,(s) Erell Taranne,13,6,N/A,0.18
LATN 20200,(s) SeMin Lee,8,5,N/A,0.174
SPAN 10200,(s)  Alan Parma,14,5,N/A,0.303
SPAN 10200,(s) Alejandra Ovalle,14,9,N/A,0.147
FREN 10200,(s) Etienne Labbouz,15,12,N/A,0.288
URDU 10100,(s) Romeena Kureishy,13,10,N/A,0.225
JAPN 10200,(s) Takeaki Okamoto,7,5,N/A,0.133
TURK 20102,(s) Helga AnetshoferKarateke,6,4,N/A,0.211
SPAN 10300,(s)  Irena Cajkova,15,6,N/A,0.062
ARAB 10102,(s) Aidan Kaplan,15,10,N/A,0.22
SANS 10100,(s) Andrew Ollett,16,9,N/A,0.208
CHIN 11300,(s)  Yujia Ye,11,6,N/A,0.15
FREN 20300,(s)  Georgy Khabarovskiy,7,4,6.25,0.21
ASLG 10200,(s) David Reinhart,15,7,N/A,0.212
GREK 10200,(s) Jonah Radding,12,8,11.67,0.205
SPAN 10300,(s) Linxi Zhang,14,11,N/A,0.173
ITAL 20100,(s) Veronica Vegna,7,5,N/A,0.361
LATN 20100,(s) Christopher Simon,13,6,N/A,0.132
SPAN 20100,(s) Maria Lozada Cerna,10,6,N/A,0.25
GRMN 10100,(s) Nicole Burgoyne,8,6,N/A,0.194
CHIN 10200,(s) Jun Yang,10,7,N/A,0.239
ARAB 20103,(s)  Aidan Kaplan,14,5,N/A,0.267
ITAL 10200,(s) Sara Dallavalle,8,6,N/A,0.205
SPAN 10300,(s)  Ely Segura Gomez,14,6,N/A,0.176
HEBR 20501,(s) Ehud Har Even,7,6,N/A,0.222
SPAN 10100,(s) Begona Arechabaleta Regulez,12,8,N/A,0.242
CHIN 20300,(s)  Xiaorong Wang,13,6,N/A,0.232
FREN 20100,(s)  Celine Bordeaux,9,4,N/A,0.249
FREN 10100,(s) Tessa LecomteFouche,13,7,N/A,0.152
SPAN 10300,(s)  Eduardo Leão,15,6,N/A,0.191
CHIN 10200,(s) Shan Xiang,13,5,N/A,0.129
CHIN 10300,(s)  Shan Xiang,15,6,N/A,0.134
SPAN 10200,(s) James Leon Weber,12,7,N/A,0.188
LATN 20300,(s)  Arshy Azizi,3,3,N/A,0.245
ARAB 10103,(s)  Zainab Hermes,18,8,N/A,0.207
AKKD 10502,(s) Herve Reculeau,8,4,N/A,0.074
TAML 10300,(s)  Govindarajan Navaneethakrishnan,7,3,N/A,0.0
SANS 10300,(s)  Andrew Ollett,15,6,N/A,0.247
LATN 10200,(s) Rebecca PosnerHess,11,4,N/A,0.241
PERS 20103,(s)  Pouneh ShabaniJadidi,9,7,N/A,0.224
SPAN 20302,(s)  James,12,3,5.0,0.192
PERS 10103,(s)  Pouneh ShabaniJadidi,6,6,N/A,0.279
CHIN 20200,(s) Xiaorong Wang,9,4,N/A,0.209
GREK 20300,(s)  Emily Austin,8,4,12.5,0.24
GRMN 10200,(s) Matthew Stahlman,5,4,N/A,0.202
SPAN 20300,(s)  James Leon Weber,14,8,5.0,0.195
RUSS 20303,(s)  Erik Houle,8,5,N/A,0.199
GRMN 10200,(s) Maeve Hooper,10,7,N/A,0.208
RUSS 10103,(s) Erik Houle,5,5,N/A,0.202
SPAN 10200,(s) Alan Parma,14,10,N/A,0.223
FREN 20200,(s)  Sylvie Goutas,5,3,N/A,0.196
ARAB 20101,(s) Zainab Hermes,14,12,N/A,0.243
ITAL 20300,(s)  Leonardo Cabrini,11,7,4.64,0.269
GREK 10200,(s) Jonah Radding,14,7,12.5,0.142
GREK 10300,(s)  Benjamin Yates,12,9,7.5,0.235
PERS 20102,(s) Pouneh ShabaniJadidi,10,6,N/A,0.243
HEBR 20502,(s) Ehud Har,3,3,N/A,0.178
ARAB 20102,(s) Noha Forster,11,5,N/A,0.208
FREN 10200,(s) Tessa LecomteFouche,13,7,N/A,0.205
SPAN 10100,(s) Felipe PierasGuasp,10,10,N/A,0.215
SPAN 10200,(s) Andrés Rabinovich,13,12,N/A,0.214
SPAN 10300,(s) Neringa Pukelis,14,8,N/A,0.238
ITAL 10300,(s)  Sara Dallavalle,8,5,N/A,0.264
HEBR 10501,(s) Ari Almog,9,5,N/A,0.189
SWAH 25200,(s),5,3,5.83,0.185
CHIN 11200,(s) Yujia Ye,12,8,N/A,0.145
FREN 20300,(s) Georgy Khabarovskiy,8,5,6.5,0.162
RUSS 20303,(s)  Mark Baugher,6,3,N/A,0.211
SPAN 10300,(s)  Begona Arechabaleta Regulez,14,9,N/A,0.241
FREN 20100,(s) Etienne Labbouz,12,9,N/A,0.119
SPAN 20300,(s) Diana Palenzuela Rodrigo,12,11,8.86,0.165
SPAN 20200,(s) Pablo Ottonello,12,11,N/A,0.242
SPAN 20300,(s) Diana Palenzuela Rodrigo,15,12,7.08,0.204
PERS 10102,(s) Pouneh ShabaniJadidi,10,7,N/A,0.265
ITAL 10200,(s) Leonardo Cabrini,10,8,N/A,0.237
KORE 10100,(s) Youjung Shin,12,7,N/A,0.222
KORE 20200,(s) Jieun Kim,8,5,N/A,0.206
SPAN 20300,(s)  Veronica Moraga Guerra,14,7,4.64,0.23
KORE 10200,(s) Rachel Bahng,6,3,N/A,0.192
SPAN 10300,(s)  Elizabeth Issert,15,5,N/A,0.24
GREK 20100,(s) Nathan Katkin,6,4,9.17,0.186
RUSS 20103,(s) Mark Baugher,6,5,N/A,0.206
FREN 10300,(s) Etienne Labbouz,10,7,N/A,0.227
FREN 20200,(s) Georgy Khabarovskiy,7,3,N/A,0.001
CHIN 10100,(s) Shan Xiang,4,3,N/A,0.166
SPAN 20200,(s) Felipe PierasGuasp,8,7,N/A,0.3
FREN 10100,(s) Gabriel Barrès,9,8,N/A,0.165
GREK 10300,(s)  Chenxi Zhang,12,6,12.5,0.205
SPAN 20200,(s) James Leon Weber,10,7,N/A,0.213
SPAN 10300,(s) Irena Cajkova,14,9,N/A,0.099
SPAN 10100,(s) Ane MarkesLarruzea,13,6,N/A,0.284
LATN 20200,(s) Sophia Alkhoury,6,5,N/A,0.242
ARAB 10103,(s)  Aidan Kaplan,14,7,N/A,0.25
AKKD 10501,(s) Susanne Paulus,14,6,N/A,0.157
SPAN 20100,(s)  Andrés Rabinovich,8,7,N/A,0.213
JAPN 10300,(s)  Takeaki Okamoto,5,4,N/A,0.211
SPAN 20100,(s) Maria Lozada Cerna,12,6,N/A,0.228
TAML 10200,(s) Govindarajan Navaneethakrishnan,8,3,N/A,0.239
KREY 12201,(s) Gerdine,6,4,3.75,0.233
SPAN 10100,(s) Irena Cajkova,14,7,N/A,0.226
SPAN 20200,(s) James Leon Weber,15,9,N/A,0.248
FREN 10100,(s) Erell Taranne,11,7,N/A,0.152
SPAN 10200,(s) Janet Sedlar,14,6,N/A,0.268
SPAN 10300,(s) Andrés Rabinovich,13,13,N/A,0.226
PORT 10300,(s)  Juliano Saccomani,5,4,N/A,0.331
FREN 20300,(s) Celine Bordeaux,9,6,9.17,0.215
CHIN 11300,(s)  YiLu Kuo,8,4,N/A,0.224
ARAB 20101,(s) Aidan Kaplan,14,5,N/A,0.236
GRMN 10300,(s)  Shiva Rahmani,4,4,N/A,0.2
SPAN 10200,(s) Irena Cajkova,14,8,N/A,0.161
NORW 10200,(s) Kimberly Kenny,21,11,N/A,0.286
SPAN 10200,(s) Ely Segura Gomez,15,6,N/A,0.193
FREN 10100,(s)  Alice McLean,10,3,N/A,0.145
SPAN 10300,(s) Neringa Pukelis,13,8,N/A,0.268
SPAN 20200,(s) Celia Diaz,8,4,N/A,0.335
FREN 10100,(s) Tessa LecomteFouche,11,4,N/A,0.262
SPAN 10200,(s) Linxi Zhang,15,12,N/A,0.197
RUSS 10103,(s) Maria Iakubovich,4,4,N/A,0.226
SPAN 20100,(s)  Andrés Rabinovich,7,6,N/A,0.235
FREN 20200,(s) Etienne Labbouz,9,7,N/A,0.253
SPAN 10300,(s)  Irena Cajkova,14,3,N/A,0.18
GRMN 10100,(s) Nicole Burgoyne,13,6,N/A,0.187
FREN 10100,(s) Alice McLean,12,9,N/A,0.197
LATN 10100,(s) Christopher Simon,16,6,N/A,0.207
SPAN 20300,(s) Veronica Moraga Guerra,6,5,6.25,0.211
KREY 12301,(s) Gerdine Ulysse,6,4,6.25,0.208
SPAN 10100,(s) Janet Sedlar,13,7,N/A,0.212
FREN 10200,(s) Celine Bordeaux,12,7,N/A,0.209
ITAL 10300,(s)  Leonardo Cabrini,11,10,N/A,0.31
JAPN 10300,(s)  Tomoko Kern,8,4,N/A,0.253
ITAL 10100,(s) Sara Dallavalle,6,3,N/A,0.132
SPAN 20100,(s)  Andrés Rabinovich,4,3,N/A,0.283
SPAN 10300,(s)  Begona Arechabaleta Regulez,15,12,N/A,0.248
GRMN 10100,(s) Matthew Stahlman,8,5,N/A,0.158
AKKD 10503,(s)  Ryan Winters,7,5,N/A,0.183
FREN 10100,(s) Isabelle Faton,10,5,N/A,0.167
RUSS 10103,(s) Mark Baugher,5,3,N/A,0.184
YDDH 10100,(s) Jessica Kirzane,9,4,N/A,0.217
CHIN 10300,(s)  Yujia Ye,15,8,N/A,0.219
SPAN 10200,(s) James Leon Weber,14,10,N/A,0.147
CHIN 10100,(s) Yujia Ye,4,3,N/A,0.193
ASLG 10300,(s)  David Reinhart,15,7,N/A,0.256
KORE 10300,(s)  Youjung Shin,9,7,N/A,0.251
KORE 10100,(s) Rachel Bahng,8,3,N/A,0.249
SPAN 20302,(s) Vianny,14,8,5.62,0.235
FREN 10300,(s) Celine Bordeaux,14,8,N/A,0.213
CHIN 10100,(s) Jun Yang,11,8,N/A,0.159
SPAN 10300,(s) Irena Cajkova,14,9,N/A,0.185
SPAN 10200,(s) Ely Segura Gomez,11,4,N/A,0.202
CHIN 20100,(s) Meng Li,13,9,N/A,0.211
SPAN 10200,(s) Neringa Pukelis,14,4,N/A,0.181
SPAN 10300,(s) Aitana Espinos,14,8,N/A,0.204
JAPN 10200,(s) Miku Fukasaku,8,5,N/A,0.193
SPAN 10300,(s) Andrés Rabinovich,14,12,N/A,0.291
SPAN 20200,(s) Jean Vallejo Gonzalez,8,7,N/A,0.257
NORW 10100,(s) Kimberly Kenny,22,15,N/A,0.269
ASLG 10200,(s) David Reinhart,15,7,N/A,0.205
FREN 10200,(s) Marie Berg,14,8,N/A,0.244
GRMN 10300,(s)  Maeve Hooper,16,15,N/A,0.197
SPAN 20200,(s)  Linxi Zhang,3,3,N/A,0.302
SPAN 10100,(s) Janet Sedlar,15,6,N/A,0.26
PORT 10200,(s) Juliano Saccomani,5,4,N/A,0.305
SPAN 10300,(s) Linxi Zhang,15,10,N/A,0.196
RUSS 20103,(s) Erik Houle,10,6,N/A,0.252
SPAN 10300,(s)  Aitana Espinos,16,10,N/A,0.074
ARME 10101,(s) Hripsime Haroutunian,4,3,N/A,0.286
ARAB 10101,(s) Zainab Hermes,16,10,N/A,0.286
GRMN 10300,(s) Colin Benert,13,4,N/A,0.23
POLI 10103,(s) Dag Lindskog,5,3,N/A,0.226
CHIN 20200,(s) Meng Li,10,7,N/A,0.156
ARAB 10101,(s) Aidan Kaplan,14,8,N/A,0.24
GREK 10100,(s) Jonah Radding,15,9,N/A,0.235
TAML 10100,(s) Govindarajan Navaneethakrishnan,9,4,N/A,0.273
ARAB 10103,(s)  Osama AbuEledam,12,3,N/A,0.217
FREN 20100,(s) Sylvie Goutas,9,5,N/A,0.251
SPAN 10100,(s) Alejandra Ovalle,10,9,N/A,0.216
EGPT 10102,(s),6,4,N/A,0.221
JAPN 10300,(s)  Miku Fukasaku,6,3,N/A,0.175
ITAL 10200,(s) Sara Dallavalle,8,8,N/A,0.289
LATN 10300,(s)  Kaicheng Fang,8,5,N/A,0.23
ITAL 10100,(s) Sara Dallavalle,8,5,N/A,0.23
SPAN 10300,(s)  Laura Colaneri,13,7,N/A,0.261
JAPN 10200,(s) Takeaki Okamoto,9,4,N/A,0.167
SPAN 20100,(s) Elizabeth Issert,12,12,N/A,0.242
SPAN 10100,(s) Felipe PierasGuasp,10,9,N/A,0.23
ITAL 10100,(s) Leonardo Cabrini,9,4,N/A,0.234
SPAN 20200,(s) Felipe PierasGuasp,5,5,N/A,0.237
JAPN 10200,(s) Tomoko Kern,9,3,N/A,0.164
SPAN 10200,(s)  Alan Parma,10,4,N/A,0.245
ASLG 10100,(s) David Reinhart,16,7,N/A,0.258
SPAN 10200,(s) Neringa Pukelis,14,8,N/A,0.223
BANG 10300,(s)  Mandira Bhaduri,3,3,N/A,0.199
ASLG 10100,(s) David Reinhart,15,7,N/A,0.211
SANS 20300,(s)  Daniel Arnold,4,3,N/A,0.203
GREK 10100,(s) Jonah Radding,17,8,9.17,0.151
SPAN 20102,(s) Juliano,6,4,N/A,0.208
SPAN 20100,(s) Juliano Saccomani,13,9,N/A,0.216
TURK 10101,(s) Kagan Arik,9,3,N/A,0.2
HEBR 10503,(s)  Ari Almog,15,4,N/A,0.197
GRMN 10200,(s) Nicole Burgoyne,4,3,N/A,0.245
SPAN 20100,(s) Pablo Garcia Pinar,12,9,N/A,0.256
GREK 20100,(s) Helma Dik,8,5,5.0,0.191
SPAN 20200,(s)  Linxi Zhang,9,8,N/A,0.219
ITAL 10300,(s)  Sara Dallavalle,8,8,N/A,0.249
FREN 20200,(s) Georgy Khabarovskiy,8,4,N/A,0.217
LATN 20100,(s) Michael I. Allen,7,3,N/A,0.181
SPAN 10200,(s) Linxi Zhang,15,11,N/A,0.316
SPAN 20100,(s) Pablo Garcia Pinar,4,4,N/A,0.261
FREN 10200,(s)  Isabelle Faton,12,7,N/A,0.282
KORE 10100,(s) Youjung Shin,4,3,N/A,0.225
FREN 20100,(s) Sylvie Goutas,6,4,N/A,0.197
