month,year,cpi
1,2015,233.707
2,2015,234.722
3,2015,236.119
4,2015,236.599
5,2015,237.805
6,2015,238.638
7,2015,238.654
8,2015,238.316
9,2015,237.945
10,2015,237.838
11,2015,237.336
12,2015,236.525
1,2016,236.916
2,2016,237.111
3,2016,238.132
4,2016,239.261
5,2016,240.229
6,2016,241.018
7,2016,240.628
8,2016,240.849
9,2016,241.428
10,2016,241.729
11,2016,241.353
12,2016,241.432
1,2017,242.839
2,2017,243.603
3,2017,243.801
4,2017,244.524
5,2017,244.733
6,2017,244.955
7,2017,244.786
8,2017,245.519
9,2017,246.819
10,2017,246.663
11,2017,246.669
12,2017,246.524
1,2018,247.867
2,2018,248.991
3,2018,249.554
4,2018,250.546
5,2018,251.588
6,2018,251.989
7,2018,252.006
8,2018,252.146
9,2018,252.439
10,2018,252.885
11,2018,252.038
12,2018,251.233
1,2019,251.712
2,2019,252.776
3,2019,254.202
4,2019,255.548
5,2019,256.092
6,2019,256.143
7,2019,256.571
8,2019,256.558
9,2019,256.759
10,2019,257.346
11,2019,257.208
12,2019,256.974
1,2020,257.971
2,2020,258.678
3,2020,258.115
4,2020,256.389
5,2020,256.394
6,2020,257.797
7,2020,259.101
8,2020,259.918
9,2020,260.28
10,2020,260.388
11,2020,260.229
12,2020,260.474
1,2021,261.582
2,2021,263.014
3,2021,264.877
4,2021,267.054
5,2021,269.195
6,2021,271.696
7,2021,273.003
8,2021,273.567
9,2021,274.31
10,2021,276.589
11,2021,277.948
12,2021,278.802
1,2022,281.148
2,2022,283.716
3,2022,287.504
4,2022,289.109
5,2022,292.296
6,2022,296.311
7,2022,296.276
8,2022,296.171
9,2022,296.808
10,2022,298.012
11,2022,297.711
12,2022,296.797
1,2023,299.17
2,2023,300.84
3,2023,301.836
4,2023,303.363
5,2023,304.127
6,2023,305.109
7,2023,305.691
8,2023,307.026
9,2023,307.789
10,2023,307.671
11,2023,307.051
12,2023,306.746