date,shelter,count,area
10/13/2023,Leone Beach,98,north
10/13/2023,Little Village - Pulaski CVS,,west
10/13/2023,MWRD,548,north
10/13/2023,Near South Health Center,154,south
10/13/2023,New Life Church,47,north
10/13/2023,North Park Village,169,north
10/13/2023,North Western,,west
10/13/2023,Ogden,881,west
10/13/2023,Parthenon,185,west
10/13/2023,Piotrowski Park,197,west
10/13/2023,Shield of Hope,,west
10/13/2023,Social Club,1190,loop
10/13/2023,Super 8 Motel,281,north
10/13/2023,Wadsworth,616,south
10/13/2023,Walnut,798,west
10/13/2023,West Lake,144,west
10/13/2023,Wright,,north
10/13/2023,YWLA,249,south
10/20/2023,American Islamic College,1302,north
10/20/2023,Brands Park,148,north
10/20/2023,Broadway Armory,329,north
10/20/2023,Casa Esperanza,31,west
10/20/2023,Daley College,256,south
10/20/2023,Elston,,west
10/20/2023,Gage Park,376,south
10/20/2023,Halsted,973,south
10/20/2023,Harold Washington Library,,loop
10/20/2023,High Ridge YMCA,156,north
10/20/2023,Inn of Chicago,1533,loop
10/20/2023,Lakeshore Hotel,616,south
10/20/2023,Leone Beach,99,north
10/20/2023,Little Village - Pulaski CVS,,west
10/20/2023,MWRD,545,north
10/20/2023,Near South Health Center,153,south
10/20/2023,New Life Church,50,north
10/20/2023,North Park Village,182,north
10/20/2023,North Western,,west
10/20/2023,Ogden,890,west
10/20/2023,Parthenon,178,west
10/20/2023,Piotrowski Park,200,west
10/20/2023,Shield of Hope,,west
10/20/2023,Social Club,1167,loop
10/20/2023,Super 8 Motel,282,north
10/20/2023,Wadsworth,621,south
10/20/2023,Walnut,798,west
10/20/2023,West Lake,150,west
10/20/2023,Wright,,north
10/20/2023,YWLA,243,south
10/27/2023,American Islamic College,1283,north
10/27/2023,Brands Park,150,north
10/27/2023,Broadway Armory,345,north
10/27/2023,Casa Esperanza,37,west
10/27/2023,Daley College,249,south
10/27/2023,Elston,,west
10/27/2023,Gage Park,385,south
10/27/2023,Halsted,1272,south
10/27/2023,Harold Washington Library,,loop
10/27/2023,High Ridge YMCA,157,north
10/27/2023,Inn of Chicago,1499,loop
10/27/2023,Lakeshore Hotel,628,south
10/27/2023,Leone Beach,99,north
10/27/2023,Little Village - Pulaski CVS,,west
10/27/2023,MWRD,550,north
10/27/2023,Near South Health Center,146,south
10/27/2023,New Life Church,50,north
10/27/2023,North Park Village,176,north
10/27/2023,North Western,,west
10/27/2023,Ogden,895,west
10/27/2023,Parthenon,186,west
10/27/2023,Piotrowski Park,200,west
10/27/2023,Shield of Hope,,west
10/27/2023,Social Club,1192,loop
10/27/2023,Super 8 Motel,280,north
10/27/2023,Wadsworth,621,south
10/27/2023,Walnut,786,west
10/27/2023,West Lake,315,west
10/27/2023,Wright,,north
10/27/2023,YWLA,248,south
11/3/2023,American Islamic College,1269,north
11/3/2023,Brands Park,146,north
11/3/2023,Broadway Armory,344,north
11/3/2023,Casa Esperanza,41,west
11/3/2023,Daley College,246,south
11/3/2023,Elston,,west
11/3/2023,Gage Park,389,south
11/3/2023,Halsted,1291,south
11/3/2023,Harold Washington Library,,loop
11/3/2023,High Ridge YMCA,155,north
11/3/2023,Inn of Chicago,1531,loop
11/3/2023,Lakeshore Hotel,607,south
11/3/2023,Leone Beach,99,north
11/3/2023,Little Village - Pulaski CVS,,west
11/3/2023,MWRD,542,north
11/3/2023,Near South Health Center,155,south
11/3/2023,New Life Church,50,north
11/3/2023,North Park Village,167,north
11/3/2023,North Western,,west
11/3/2023,Ogden,882,west
11/3/2023,Parthenon,185,west
11/3/2023,Piotrowski Park,202,west
11/3/2023,Shield of Hope,,west
11/3/2023,Social Club,1196,loop
11/3/2023,Super 8 Motel,282,north
11/3/2023,Wadsworth,629,south
11/3/2023,Walnut,795,west
11/3/2023,West Lake,303,west
11/3/2023,Wright,,north
11/3/2023,YWLA,244,south
11/10/2023,American Islamic College,1269,north
11/10/2023,Brands Park,142,north
11/10/2023,Broadway Armory,344,north
11/10/2023,Casa Esperanza,41,west
11/10/2023,Daley College,253,south
11/10/2023,Elston,,west
11/10/2023,Gage Park,380,south
11/10/2023,Halsted,1264,south
11/10/2023,Harold Washington Library,,loop
11/10/2023,High Ridge YMCA,158,north
11/10/2023,Inn of Chicago,1507,loop
11/10/2023,Lakeshore Hotel,619,south
11/10/2023,Leone Beach,98,north
11/10/2023,Little Village - Pulaski CVS,,west
11/10/2023,MWRD,542,north
11/10/2023,Near South Health Center,154,south
11/10/2023,New Life Church,49,north
11/10/2023,North Park Village,174,north
11/10/2023,North Western,201,west
11/10/2023,Ogden,1127,west
11/10/2023,Parthenon,182,west
11/10/2023,Piotrowski Park,197,west
11/10/2023,Shield of Hope,,west
11/10/2023,Social Club,1197,loop
11/10/2023,Super 8 Motel,280,north
11/10/2023,Wadsworth,621,south
11/10/2023,Walnut,780,west
11/10/2023,West Lake,300,west
11/10/2023,Wright,,north
11/10/2023,YWLA,246,south
11/17/2023,American Islamic College,1228,north
11/17/2023,Brands Park,134,north
11/17/2023,Broadway Armory,317,north
11/17/2023,Casa Esperanza,43,west
11/17/2023,Daley College,246,south
11/17/2023,Elston,,west
11/17/2023,Gage Park,385,south
11/17/2023,Halsted,1385,south
11/17/2023,Harold Washington Library,,loop
11/17/2023,High Ridge YMCA,151,north
11/17/2023,Inn of Chicago,1488,loop
11/17/2023,Lakeshore Hotel,606,south
11/17/2023,Leone Beach,94,north
11/17/2023,Little Village - Pulaski CVS,,west
11/17/2023,MWRD,549,north
11/17/2023,Near South Health Center,153,south
11/17/2023,New Life Church,47,north
11/17/2023,North Park Village,175,north
11/17/2023,North Western,187,west
11/17/2023,Ogden,1127,west
11/17/2023,Parthenon,182,west
11/17/2023,Piotrowski Park,186,west
11/17/2023,Shield of Hope,,west
11/17/2023,Social Club,1176,loop
11/17/2023,Super 8 Motel,278,north
11/17/2023,Wadsworth,611,south
11/17/2023,Walnut,839,west
11/17/2023,West Lake,286,west
11/17/2023,Wright,,north
11/17/2023,YWLA,248,south
11/24/2023,American Islamic College,1194,north
11/24/2023,Brands Park,119,north
11/24/2023,Broadway Armory,340,north
11/24/2023,Casa Esperanza,45,west
11/24/2023,Daley College,232,south
11/24/2023,Elston,,west
11/24/2023,Gage Park,381,south
11/24/2023,Halsted,1501,south
11/24/2023,Harold Washington Library,,loop
11/24/2023,High Ridge YMCA,149,north
11/24/2023,Inn of Chicago,1478,loop
11/24/2023,Lakeshore Hotel,617,south
11/24/2023,Leone Beach,93,north
11/24/2023,Little Village - Pulaski CVS,,west
11/24/2023,MWRD,523,north
11/24/2023,Near South Health Center,154,south
11/24/2023,New Life Church,47,north
11/24/2023,North Park Village,170,north
11/24/2023,North Western,186,west
11/24/2023,Ogden,1128,west
11/24/2023,Parthenon,183,west
11/24/2023,Piotrowski Park,174,west
11/24/2023,Shield of Hope,,west
11/24/2023,Social Club,1185,loop
11/24/2023,Super 8 Motel,261,north
11/24/2023,Wadsworth,618,south
11/24/2023,Walnut,875,west
11/24/2023,West Lake,299,west
11/24/2023,Wright,,north
11/24/2023,YWLA,246,south
12/1/2023,American Islamic College,1265,north
12/1/2023,Brands Park,142,north
12/1/2023,Broadway Armory,345,north
12/1/2023,Casa Esperanza,39,west
12/1/2023,Daley College,249,south
12/1/2023,Elston,367,west
12/1/2023,Gage Park,373,south
12/1/2023,Halsted,2030,south
12/1/2023,Harold Washington Library,,loop
12/1/2023,High Ridge YMCA,151,north
12/1/2023,Inn of Chicago,1455,loop
12/1/2023,Lakeshore Hotel,615,south
12/1/2023,Leone Beach,95,north
12/1/2023,Little Village - Pulaski CVS,,west
12/1/2023,MWRD,541,north
12/1/2023,Near South Health Center,151,south
12/1/2023,New Life Church,47,north
12/1/2023,North Park Village,178,north
12/1/2023,North Western,185,west
12/1/2023,Ogden,1135,west
12/1/2023,Parthenon,185,west
12/1/2023,Piotrowski Park,180,west
12/1/2023,Shield of Hope,,west
12/1/2023,Social Club,1200,loop
12/1/2023,Super 8 Motel,279,north
12/1/2023,Wadsworth,621,south
12/1/2023,Walnut,854,west
12/1/2023,West Lake,299,west
12/1/2023,Wright,,north
12/1/2023,YWLA,241,south
12/8/2023,American Islamic College,1247,north
12/8/2023,Brands Park,139,north
12/8/2023,Broadway Armory,341,north
12/8/2023,Casa Esperanza,42,west
12/8/2023,Daley College,250,south
12/8/2023,Elston,568,west
12/8/2023,Gage Park,378,south
12/8/2023,Halsted,2305,south
12/8/2023,Harold Washington Library,,loop
12/8/2023,High Ridge YMCA,153,north
12/8/2023,Inn of Chicago,1388,loop
12/8/2023,Lakeshore Hotel,589,south
12/8/2023,Leone Beach,93,north
12/8/2023,Little Village - Pulaski CVS,,west
12/8/2023,MWRD,549,north
12/8/2023,Near South Health Center,153,south
12/8/2023,New Life Church,51,north
12/8/2023,North Park Village,177,north
12/8/2023,North Western,195,west
12/8/2023,Ogden,1114,west
12/8/2023,Parthenon,186,west
12/8/2023,Piotrowski Park,200,west
12/8/2023,Shield of Hope,,west
12/8/2023,Social Club,1192,loop
12/8/2023,Super 8 Motel,263,north
12/8/2023,Wadsworth,621,south
12/8/2023,Walnut,863,west
12/8/2023,West Lake,298,west
12/8/2023,Wright,,north
12/8/2023,YWLA,245,south
12/15/2023,American Islamic College,1242,north
12/15/2023,Brands Park,149,north
12/15/2023,Broadway Armory,342,north
12/15/2023,Casa Esperanza,54,west
12/15/2023,Daley College,240,south
12/15/2023,Elston,841,west
12/15/2023,Gage Park,369,south
12/15/2023,Halsted,2391,south
12/15/2023,Harold Washington Library,66,loop
12/15/2023,High Ridge YMCA,157,north
12/15/2023,Inn of Chicago,1366,loop
12/15/2023,Lakeshore Hotel,588,south
12/15/2023,Leone Beach,98,north
12/15/2023,Little Village - Pulaski CVS,,west
12/15/2023,MWRD,540,north
12/15/2023,Near South Health Center,154,south
12/15/2023,New Life Church,50,north
12/15/2023,North Park Village,173,north
12/15/2023,North Western,200,west
12/15/2023,Ogden,1132,west
12/15/2023,Parthenon,185,west
12/15/2023,Piotrowski Park,198,west
12/15/2023,Shield of Hope,,west
12/15/2023,Social Club,1175,loop
12/15/2023,Super 8 Motel,278,north
12/15/2023,Wadsworth,619,south
12/15/2023,Walnut,881,west
12/15/2023,West Lake,297,west
12/15/2023,Wright,,north
12/15/2023,YWLA,248,south
12/22/2023,American Islamic College,1226,north
12/22/2023,Brands Park,145,north
12/22/2023,Broadway Armory,344,north
12/22/2023,Casa Esperanza,51,west
12/22/2023,Daley College,293,south
12/22/2023,Elston,987,west
12/22/2023,Gage Park,358,south
12/22/2023,Halsted,2536,south
12/22/2023,Harold Washington Library,106,loop
12/22/2023,High Ridge YMCA,154,north
12/22/2023,Inn of Chicago,1478,loop
12/22/2023,Lakeshore Hotel,591,south
12/22/2023,Leone Beach,95,north
12/22/2023,Little Village - Pulaski CVS,,west
12/22/2023,MWRD,547,north
12/22/2023,Near South Health Center,154,south
12/22/2023,New Life Church,49,north
12/22/2023,North Park Village,174,north
12/22/2023,North Western,200,west
12/22/2023,Ogden,1134,west
12/22/2023,Parthenon,186,west
12/22/2023,Piotrowski Park,199,west
12/22/2023,Shield of Hope,,west
12/22/2023,Social Club,1178,loop
12/22/2023,Super 8 Motel,271,north
12/22/2023,Wadsworth,625,south
12/22/2023,Walnut,877,west
12/22/2023,West Lake,299,west
12/22/2023,Wright,,north
12/22/2023,YWLA,248,south
12/29/2023,American Islamic College,1204,north
12/29/2023,Brands Park,148,north
12/29/2023,Broadway Armory,350,north
12/29/2023,Casa Esperanza,48,west
12/29/2023,Daley College,390,south
12/29/2023,Elston,1000,west
12/29/2023,Gage Park,398,south
12/29/2023,Halsted,2539,south
12/29/2023,Harold Washington Library,113,loop
12/29/2023,High Ridge YMCA,154,north
12/29/2023,Inn of Chicago,1492,loop
12/29/2023,Lakeshore Hotel,602,south
12/29/2023,Leone Beach,98,north
12/29/2023,Little Village - Pulaski CVS,,west
12/29/2023,MWRD,547,north
12/29/2023,Near South Health Center,157,south
12/29/2023,New Life Church,49,north
12/29/2023,North Park Village,178,north
12/29/2023,North Western,199,west
12/29/2023,Ogden,1126,west
12/29/2023,Parthenon,186,west
12/29/2023,Piotrowski Park,200,west
12/29/2023,Shield of Hope,,west
12/29/2023,Social Club,1200,loop
12/29/2023,Super 8 Motel,267,north
12/29/2023,Wadsworth,623,south
12/29/2023,Walnut,880,west
12/29/2023,West Lake,296,west
12/29/2023,Wright,,north
12/29/2023,YWLA,256,south
1/5/2024,American Islamic College,1200,north
1/5/2024,Brands Park,150,north
1/5/2024,Broadway Armory,343,north
1/5/2024,Casa Esperanza,34,west
1/5/2024,Daley College,403,south
1/5/2024,Elston,994,west
1/5/2024,Gage Park,393,south
1/5/2024,Halsted,2547,south
1/5/2024,Harold Washington Library,156,loop
1/5/2024,High Ridge YMCA,113,north
1/5/2024,Inn of Chicago,1522,loop
1/5/2024,Lakeshore Hotel,601,south
1/5/2024,Leone Beach,99,north
1/5/2024,Little Village - Pulaski CVS,,west
1/5/2024,MWRD,547,north
1/5/2024,Near South Health Center,155,south
1/5/2024,New Life Church,50,north
1/5/2024,North Park Village,181,north
1/5/2024,North Western,199,west
1/5/2024,Ogden,1129,west
1/5/2024,Parthenon,186,west
1/5/2024,Piotrowski Park,196,west
1/5/2024,Shield of Hope,,west
1/5/2024,Social Club,1197,loop
1/5/2024,Super 8 Motel,272,north
1/5/2024,Wadsworth,631,south
1/5/2024,Walnut,879,west
1/5/2024,West Lake,298,west
1/5/2024,Wright,,north
1/5/2024,YWLA,259,south
1/12/2024,American Islamic College,1170,north
1/12/2024,Brands Park,150,north
1/12/2024,Broadway Armory,346,north
1/12/2024,Casa Esperanza,45,west
1/12/2024,Daley College,405,south
1/12/2024,Elston,1009,west
1/12/2024,Gage Park,377,south
1/12/2024,Halsted,2549,south
1/12/2024,Harold Washington Library,115,loop
1/12/2024,High Ridge YMCA,159,north
1/12/2024,Inn of Chicago,1411,loop
1/12/2024,Lakeshore Hotel,600,south
1/12/2024,Leone Beach,100,north
1/12/2024,Little Village - Pulaski CVS,202,west
1/12/2024,MWRD,550,north
1/12/2024,Near South Health Center,160,south
1/12/2024,New Life Church,49,north
1/12/2024,North Park Village,180,north
1/12/2024,North Western,199,west
1/12/2024,Ogden,1109,west
1/12/2024,Parthenon,185,west
1/12/2024,Piotrowski Park,198,west
1/12/2024,Shield of Hope,,west
1/12/2024,Social Club,1208,loop
1/12/2024,Super 8 Motel,268,north
1/12/2024,Wadsworth,642,south
1/12/2024,Walnut,878,west
1/12/2024,West Lake,300,west
1/12/2024,Wright,,north
1/12/2024,YWLA,260,south
1/19/2024,American Islamic College,1155,north
1/19/2024,Brands Park,138,north
1/19/2024,Broadway Armory,338,north
1/19/2024,Casa Esperanza,46,west
1/19/2024,Daley College,338,south
1/19/2024,Elston,981,west
1/19/2024,Gage Park,368,south
1/19/2024,Halsted,2535,south
1/19/2024,Harold Washington Library,113,loop
1/19/2024,High Ridge YMCA,257,north
1/19/2024,Inn of Chicago,1384,loop
1/19/2024,Lakeshore Hotel,597,south
1/19/2024,Leone Beach,98,north
1/19/2024,Little Village - Pulaski CVS,202,west
1/19/2024,MWRD,541,north
1/19/2024,Near South Health Center,156,south
1/19/2024,New Life Church,48,north
1/19/2024,North Park Village,180,north
1/19/2024,North Western,199,west
1/19/2024,Ogden,1129,west
1/19/2024,Parthenon,184,west
1/19/2024,Piotrowski Park,187,west
1/19/2024,Shield of Hope,,west
1/19/2024,Social Club,1192,loop
1/19/2024,Super 8 Motel,250,north
1/19/2024,Wadsworth,625,south
1/19/2024,Walnut,856,west
1/19/2024,West Lake,295,west
1/19/2024,Wright,,north
1/19/2024,YWLA,257,south
1/26/2024,American Islamic College,1105,north
1/26/2024,Brands Park,147,north
1/26/2024,Broadway Armory,310,north
1/26/2024,Casa Esperanza,34,west
1/26/2024,Daley College,254,south
1/26/2024,Elston,950,west
1/26/2024,Gage Park,344,south
1/26/2024,Halsted,2451,south
1/26/2024,Harold Washington Library,107,loop
1/26/2024,High Ridge YMCA,131,north
1/26/2024,Inn of Chicago,1371,loop
1/26/2024,Lakeshore Hotel,577,south
1/26/2024,Leone Beach,90,north
1/26/2024,Little Village - Pulaski CVS,202,west
1/26/2024,MWRD,547,north
1/26/2024,Near South Health Center,154,south
1/26/2024,New Life Church,48,north
1/26/2024,North Park Village,173,north
1/26/2024,North Western,191,west
1/26/2024,Ogden,1128,west
1/26/2024,Parthenon,184,west
1/26/2024,Piotrowski Park,180,west
1/26/2024,Shield of Hope,,west
1/26/2024,Social Club,1171,loop
1/26/2024,Super 8 Motel,256,north
1/26/2024,Wadsworth,616,south
1/26/2024,Walnut,843,west
1/26/2024,West Lake,292,west
1/26/2024,Wright,,north
1/26/2024,YWLA,232,south
2/2/2024,American Islamic College,1104,north
2/2/2024,Brands Park,147,north
2/2/2024,Broadway Armory,295,north
2/2/2024,Casa Esperanza,17,west
2/2/2024,Daley College,234,south
2/2/2024,Elston,975,west
2/2/2024,Gage Park,355,south
2/2/2024,Halsted,2442,south
2/2/2024,Harold Washington Library,107,loop
2/2/2024,High Ridge YMCA,145,north
2/2/2024,Inn of Chicago,1294,loop
2/2/2024,Lakeshore Hotel,571,south
2/2/2024,Leone Beach,94,north
2/2/2024,Little Village - Pulaski CVS,201,west
2/2/2024,MWRD,538,north
2/2/2024,Near South Health Center,148,south
2/2/2024,New Life Church,48,north
2/2/2024,North Park Village,166,north
2/2/2024,North Western,162,west
2/2/2024,Ogden,1068,west
2/2/2024,Parthenon,184,west
2/2/2024,Piotrowski Park,161,west
2/2/2024,Shield of Hope,,west
2/2/2024,Social Club,1090,loop
2/2/2024,Super 8 Motel,237,north
2/2/2024,Wadsworth,597,south
2/2/2024,Walnut,860,west
2/2/2024,West Lake,292,west
2/2/2024,Wright,,north
2/2/2024,YWLA,217,south
2/9/2024,American Islamic College,1025,north
2/9/2024,Brands Park,149,north
2/9/2024,Broadway Armory,282,north
2/9/2024,Casa Esperanza,16,west
2/9/2024,Daley College,222,south
2/9/2024,Elston,897,west
2/9/2024,Gage Park,354,south
2/9/2024,Halsted,2298,south
2/9/2024,Harold Washington Library,25,loop
2/9/2024,High Ridge YMCA,150,north
2/9/2024,Inn of Chicago,1215,loop
2/9/2024,Lakeshore Hotel,553,south
2/9/2024,Leone Beach,92,north
2/9/2024,Little Village - Pulaski CVS,200,west
2/9/2024,MWRD,528,north
2/9/2024,Near South Health Center,135,south
2/9/2024,New Life Church,35,north
2/9/2024,North Park Village,163,north
2/9/2024,North Western,144,west
2/9/2024,Ogden,1039,west
2/9/2024,Parthenon,183,west
2/9/2024,Piotrowski Park,145,west
2/9/2024,Shield of Hope,,west
2/9/2024,Social Club,1183,loop
2/9/2024,Super 8 Motel,191,north
2/9/2024,Wadsworth,586,south
2/9/2024,Walnut,854,west
2/9/2024,West Lake,294,west
2/9/2024,Wright,,north
2/9/2024,YWLA,198,south